title	text	tag	date
City inventor shows ‘Make in India’ solution for piles	A city-based inventor and a government health official unveiled a new device to address the sticky problem of piles, which they said contributes to a 40% decline in workforce efficiency.Speaking to DH on Tuesday, Dr Rajah Vijay Kumar, described piles or hemorrhoids, as not only being one of the oldest known ailments known to humans but also the most secretive. “Husbands don’t tell wives, wives don’t tell husbands,” he said.In an effort to keep the condition secret, sufferers spurn their doctors and instead turn to unlicensed medical practitioners for ointments, creams and suppositories, added Dr T S Prabhakar of the Karnataka Department of Health and Family Welfare.“This new device is a way to fight back against quacks,” Dr Prabhakar said adding that the government had registered several deaths due to treatments recommended by unlicensed practitioners. Dr Prabhakar could not be reached later for clarification.The device, which is priced at roughly Rs 6,900 per unit, involves cooling its inner nano-material to a temperature of -18 degrees C, using a common freezer. Once cooled, the device is applied to the affected area where the nano material gradually releases cold temperatures over a 10-minute period.Dr Kumar insisted the procedure could be be done in the privacy of one’s home and was relatively non-invasive. “There is no cold shock or frostbite,” he said. “I am proud to say that I was patient number one.”When queried about the cost of the product which might deter some Indians, Samson John, director of a renewable energy company which has partnered with Dr Kumar, insisted that it is the cheapest solution to treating piles in the market. “Ointments are a temporary measure and surgeries are expensive and time-consuming,” he said. “Of the 1,291 people who used the device in clinical trials, 88.7% said they had been cured.”As per figures released by WHO and the Rajiv Gandhi Institute, roughly 41 million people in India suffer from piles. Furthermore, 1.2 million new cases are diagnosed every year, said Dr Kumar. Nearly 40% of these are pregnant women while 60% are people living in South India. The harmful effects of the condition is said to cause job absenteeism and a 30 to 40% drop in efficiency across the job market.	Bengaluru,Make in India,Piles,	 Mar 13 2019
 1 lakh saplings for more green cover in all 198 wards	At a time when the city’s green cover is declining rapidly, the Bruhat Bengaluru Mahanagara Palike (BBMP) is to take up a massive planting drive in all the 198 wards. Around 1 lakh saplings will be planted across eight zones of the BBMP with the support of volunteers from various non-governmental organisations (NGOs). The BBMP has earmarked Rs 5 crore in the recent budget for the initiative. “To improve the city’s green cover and beautification, we have already finalised tender for 75,000 saplings. The saplings are ready in our four nurseries and will be planted soon,” M K Cholarajappa, deputy conservator of forests (DCF), BBMP, told DH. The civic body has already distributed around 6 lakh saplings through the BBMP Green app, launched to give away saplings to residents. “The Palike is distributing free saplings through the mobile app. Citizens can go to BBMP-managed parks and collect the saplings. The saplings can be planted in residential compounds or along the side of the road,” added Cholarajappa. The saplings include mostly indigenous varieties -- among them are trees valued for timber, honge and mahogany.Flowering tree saplings that will be made available are hole dasavala, huvarasi, sampige, basavana pada, tabebuia, jacaranda and tabebuia guayacan. Fruit-bearing trees kadu badami, jamun, gooseberry, cherry and medicinal trees like neem, simarouba and tapasi also figure in the list.“The saplings will be planted in areas that require green cover, BBMP lands and protected lands across the city. The BBMP alone cannot be responsible for the watering, and tending to all the saplings. Hence, partnering with NGOs and people are important,” the DCF explained.	BBMP,Tree plantation,	 Mar 12 2019
Amid water crisis, citizens get half-bucket challenge	The largest body of apartments in Bengaluru is running a social media campaign, urging its members to bath in half a bucket of water so as to reduce the pressure on the city’s depleting water resources. The BAFHalfBucketChallenge thrown by the Bangalore Apartments’ Federation highlights growing concerns over water scarcity in the city as the summer sets in. One of the social media messages reads ‘Looming water crisis in Bengaluru! I took bath with half a bucket of water! Can you?’ The BAF has about 400 apartment complexes as members, representing over 70,000 flats and two lakh people. The federation believes Bengaluru is in the throes of a water crisis with groundwater running dry in many places and the supply of Cauvery water becoming erratic.While the government and civic agencies are working towards reviving the lakes and improving the water supply, citizens can do their bit by reducing water consumption through simple measures. Srikanth Narasimhan, the general secretary of the BAF and a resident of Brigade Paramount, Old Madras Road, said that all these years, their apartment managed with borewell water, but this year they were compelled to buy water from private tankers. “I have been bathing with half a bucket of water for quite some time and it’s pretty easy. It just takes a little bit of a mindset change and a focus on water conservation,” he added. Ajay Mehrotra, joint secretary, BAF, said their aim was to make the campaign viral where people could post simple messages on Facebook or Twitter, saying they had done it successfully and tagging at least three friends, throwing them the same challenge. K V Prasanna, vice president, BAF, said people must take the challenge a notch higher and see how they could reduce the overall consumption of water by half.“This is very important as the city’s water resources are going to be continuously under strain as the population keeps increasing,” he added.	water shortage,Bengaluru,	 Mar 12 2019
Farmers to protest today over PRR delay	Over 3,000 farmers will gather at the Bangalore Development Authority (BDA) head office on Tuesday in protest against the government over the delay in the Peripheral Ring Road (PRR) project.The farmers, who have lost land to the ambitious project, said they are not against the PRR. Instead, they want the project to start so that they can get proper compensation and move on with their lives.Raghu, a farmer participating in the protest, said: “We were given notice for land acquisition in 2005. But to this day, nothing has happened. We can use the soil for cultivation, but cannot dig borewells. We cannot mortgage the property for a loan or seek help from financiers as our land has been marked for the project.”Most of them have to get their daughters married, support the education of their children or meet the medical expenses of ailing family members.“In the last 10 years, the government has only conducted meetings. In the last two years, the BDA has not even called for any meeting. Chief Minister H D Kumaraswamy, who claims to be a pro-farmer CM, has also done nothing. In the name of loan waiver, he has neglected us, as our land is listed to be acquired for development,” said another farmer.Due to the uncalled-for delay, farmers have now agreed to part with their land for cash compensation as decided under the land acquisition bill of 2012. They are not interested in the 40:60 land-sharing scheme.“We have seen what happened in the case of Arkavathy Layout. Those who lost land are still suffering. If the land costs around Rs 10 crore, we demand that the government give us Rs 5 crore immediately and put the remaining in banks, so that we can at least earn interest from it,” Raghu said.Many farmers said they are now making a living by selling vegetables and doing odd jobs in the city, as part of their land is infertile and they have no money for labour.The BDA is said to acquire 1,800 acres of land from around 4,000 people.	farmer protest,Bangalore Development Authority,Bengaluru,	 Mar 12 2019
BBMP may hire different vendor for eggs in midday meals	Though dependent on the Akshaya Patra to run its midday meal programme, the Bruhat Bengaluru Mahanagara Palike (BBMP) is considering asking another private player to supply eggs as a supplement.The chairman of the Palike’s education committee Imran Pasha told DH that adding eggs in the midday meals will meet the nutritional needs of students in BBMP schools and colleges. “The eggs would be provided by another vendor, while the Akshaya Patra foundation would continue to supply the meals,” he said.He said the BBMP has allotted Rs 1 crore for the meals, while funds specifically for the eggs would be set aside after preparing a proposal.The mid-day meals are provided by the Akshaya Patra Foundation to more than 17,000 students in 138 BBMP schools, 14 PU colleges and four Undergraduate colleges in Bengaluru.An Akshaya Patra foundation spokesperson said the organisation would not object to the BBMP procuring eggs from a different vendor and supplying it to the schools.“The Akshaya Patra midday meals programme for schools follows the International Society for Krishna Consciousness (Iskcon) principle of vegetarianism in its cooking. It strictly avoids meat, fish, and eggs,” the spokesperson said.“If the BBMP wants to provide eggs, we will not supply them to the school directly. The school management or concerned authority can procure eggs by other means and provide them to school,” the spokesperson added. Pasha said the eggs will be supplied by a separate vendor.In December, the inclusion of onions and garlic in the Akshaya Patra midday meal programme kicked up controversy even as several NGOs demanded eggs to be added as a supplement.Organisations and a few experts wrote to the Women and Child Development ministry saying including eggs would greatly enhance the nutritional value of the meals supplied to children.	Akshaya Patra,BBMP,	 Mar 11 2019
Tibetans observe 60th anniversary of people’s uprising	The Tibetan Parliament-in-exile on Sunday observed the 60th anniversary of their people’s peaceful uprising against the Chinese occupiers of their homeland.To honour the support they received from several countries, including India, Kashag (the highest executive office of the Central Tibetan Administration) designated 2018 as the year of gratitude. It began with ‘thank you, India’ and ended with ‘thank you, America’.To ensure that the Tibetan struggle moves forward, the Kashag on Sunday dedicated 2019 as the year of commitment. The Tibetan Parliament-in-exile urged freedom-loving people to commit to end the oppression in Tibet and fight against impunity.	Tibetean uprising day,Bengaluru,	 Mar 11 2019
Bengalureans lament destruction of green cover	"In the season of blooming, when everybody is sharing photographs of flowering trees in their neighbourhood on social media, there is a large section of people who are concerned about how new projects like the elevated corridor will contribute to the destruction of the remaining green cover of the city.""Through the generations, people have been contributed to maintaining the green cover of the city. Now destroying the trees for projects such as elevated corridor is really depressing,"" says Srinivas Alavilli, member of Citizens for Bengaluru. ""At least with the Metro, thousands of commuters were helped even though trees were felled. But the elevated corridor can only accommodate cars,"" he says.A few nature lovers, who shared the photographs of the season’s blooms on their Facebook walls, felt that ""It is important to contain the city's development and spread out more evenly without losing out its greenery"".""As we see people sharing pictures of trees and flowers they have clicked with love and affection, it is so ironic that we also get to see trees in public spaces being cut down,"" adds Srinivas.""It is our responsibility to protect the green cover. If not, what will we leave for our future generations,"" he asks.With the spring coming early this year the flowering trees in Bengaluru are in full bloom.Now it is the time for the 'Silver Trumpet' tree!In Bengaluru, there are many Silver Trumpet trees, which are mostly found in old Bengaluru areas like Jayanagar, Rajajinagar, Basavanagudi etc.A native of South America 'Tabebuia Argentea' (yellow flowers) is commonly known as the Silver Trumpet tree. The fluorescent yellow flowers are trumpet-shaped with some species having double-layered petals.""The flowering season starts from February and will be on till April. These trees will be in a vegetative for almost 11 years,"" says M Jagadeesh, Joint Director of the Lalbagh Botanical Garden’s Horticulture Department.A Silver Trumpet, planted in Lalbagh Botanical Garden by former prime minister Pandit Jawaharlal Nehru during his visit to the city, is in full bloom and it is thanks to the efforts of the Horticulture Department.“With the help of tree surgeries and regular pruning, we are able to keep the plant growth in check and maintain the shape. Also, with the help of a good canopy balance these trees can survive for 50-60 years,” Jagadeesh adds.The tree provides good shade and attracts everyone with its bright yellow blooms. It is surely an attention-getter. Vijay Nishanth, environmentalist and 'tree doctor', shared the pictures of the 'Silver Trumpet' tree on his Facebook wall saying ""Bengaluru streets holds this beautyeverywheree in summer.[sic]"" Nature lovers hope to see the 'Silver Trumpet' in full bloom the next spring too!"	elevated corridor,Bengaluru,Nature,	 Mar 10 2019
26 Whitefield policeman win awards for crime detection	The Whitefield division police have awarded 26 police personnel with Rs 10,000 in cash and four days’ holiday for the best crime detection.Abdul Ahad, DCP Whitefield, said those awarded included police constables and sub-inspectors who used exemplary skills and interest in detecting criminal cases. The photographs of award-winning policemen will be displayed at their respective police stations to encourage other policemen.In a major property recovery parade, the Whitefield division police detected numerous cases of housebreak thefts, robberies, bike thefts, drug peddling and cattle theft cases reported from December last year till March this year. The police recovered gold valuables which would be returned to the owners after court procedures, he added.Among the interesting cases was one where the K R Puram police took a 40-year-old Bangladeshi national into custody from the central jail and recovered gold valuables worth Rs 6 lakh from him. The accused Aslam had committed as many as six robberies in Whitefield division and was later arrested by the Delhi police for a similar crime. The KR Puram police, based on a tip-off from Delhi police, obtained his body warrant and got his custody.The KR Puram police also arrested a gang of seven involved in robbery cases. They recovered gold valuables and three mobile phones worth 1.8 lakh from them. The accused, Vishwanath (23), Kitty (31) and Prakash (30), along with others, would move around in an autorickshaw targeting IT employees returning home late in the night and rob them.The HAL police arrested a truck driver and his associate from Tamil Nadu and recovered red sanders worth Rs 30 lakh from them. The accused Dilip (37) and his associate Sethu (23) were intercepted by the police during routine vehicle checks. Dilip tried to speed away, but he was chased down. The Mahadevapura police arrested a gang of five which used to steal milch cows. The accused, Syed Imran (23), Prabhu (20), Asif (22), Appu (26) and Shanish (24) from Gandhinagar, used to move in a goods autorickshaw in and around Mahadevapura and steal cows and sell them to others. The policerecovered cows worth Rs 8 lakh from them.	Bengaluru police,Whitefield ,	 Mar 10 2019
Pvt-aided school teachers to lose pay over poor results	In a move that will come as a shock for teachers in private-aided schools, the state government has decided to hold them responsible for poor student performance. As per the new rules, the Department of Education can hold teachers’ promotion and salaries besides annulling the grant-in-aid if a newly recruited teacher fails to ensure more than 60% result. Permitting management of the schools to fill vacant posts, the government has cautioned that if freshly recruited teachers fail to ensure good results in their respective subjects, not only their salaries and promotions will be withheld but their grant-in-aid will also be annulled if they continue with their dismal performance for three consecutive years. In the corresponding five years, if 50% of students in aided schools do not pass, grants to these schools would be withheld. According to the order, teachers have to ensure 60% results, failing which that year’s salary would be withheld. The Deputy Directors of Public Instruction have been asked to submit a detailed report on teachers and their performance every year. According to the state government, until 2015, the government had permitted to fill as many as 3,633 vacant teachers’ posts in private-aided schools. However, going by the government’s diktat - that only schools with more than 60 per cent result or on par with the average result of the district be allowed to fill the posts - aided private schools were able to fill only 781 seats. In fact, this condition had triggered an intense debate in the Legislative Council and the government was under due pressure to relax the rules. But according to teachers’ representatives, the latest results have turned out to be even more stringent.Commenting on the move, BJP MLC Arun Shahpur said, “This will create job insecurity among teachers. The government has relaxed one norm and added another five. This is nothing but slow poison for aided schools.” Niranjanaradhya V P, Fellow, National Law School of India University (NLSIU), termed this as the last resort for the government. “They cannot have a discriminatory attitude. There are several private and government schools as well who are not up to the mark. Before you punish anyone for performance, it is your responsibility to create an enabling environment for them to perform,” he said. Terming employment is a matter of social security, he said, “You cannot just hire and fire. Relaxations of the previous norms are bad. The onus is on the institution and management to perform. It is wrong to punish individuals.”	Education,	 Mar 10 2019
BDA hands over 240 flats to Canara Bank	The Bangalore Development Authority (BDA) on Friday made its first bulk allotment of flats to Canara Bank.After nearly six months of talks and negotiations, 240 flats in Phase 6 of Valagerahalli were allotted to the bank employees. Bank managers handed over a cheque of Rs 101.45 crore to BDA Commissioner Rakesh Singh.“This is the first bulk allotment done by the BDA. With this, there is hope that more such sales will happen,” said Vinay G Sugur, engineer officer, BDA.“The BDA is in talks with many other companies and banks, but things are yet to materialise,” said a BDA official. “Discussions were going on for very long because of the pricing with Canara Bank. But the BDA has handed over the flats at the cost of Rs 42 lakh each. This, however, does not include the registration charges and possession of the flats will be given by the end of March, once money is deposited to BDA account and after all procedures are completed.” All flats under Phase-6 of Volegerahalli come in two bedroom-hall-kitchen configuration. The BDA constructed three blocks, with each comprising 120 flats. Canara Bank has occupied two blocks, and in the third block 30 flats have been sold to individuals.Flats in Volegerahalli are most sought-after. The BDA has created six phases and all of them have been sold out. Under Phase-5, 415 three BHK flats were constructed and all sold out only recently.	Bangalore Development Authority,Canara Bank,Bengaluru,	 Mar 09 2019
Bengaluru is most forgetful: Uber lost and found index	"For the third time in a row, Bengaluru is the most forgetful city in the country. This year, Bengaluru is followed by New Delhi, Mumbai, Hyderabad and Kolkata, as per the Uber Index. A study by cab-aggregator Uber revealed riders have forgotten live fish, milk sachets, prams, ukulele, bunch of banana, aluminium storage shelf, yoga mat, knee pad, and even sarees, in 2018.""Over the last year, we've seen objects including phones, cameras and bags top the list of items left in Ubers across India, followed by utility items like wallets, keys, clothing, and umbrellas rounding off the top ten,"" it said.Besides leaving 'the usuals' like bags and phones, other items like knee pads, gold chains, baby prams, ukuleles, and live fish as well, it added.Other items include personal hotspot devices, toy cars, footwear (Crocs), while the other common items that people frequently leave behind include glasses, water bottle and phone charger.Afternoon siestas seem to be the most at fault leading to forgetfulness, with the data revealing most such instances happen between 1-3 PM, while weekends emerged as the most common days.In 2018, the most forgetful days were September 1, followed by June 9, September 2, July 15 and September 8.The company, which operates in 15 cities and counts on India as one of the biggest markets globally, however, did not reveal the quantum of instances of forgetfulness.Riders can trace their misplaced objects by selecting that trip and the 'I lost an item' option in the app, it said."	Bengaluru,Uber,	 Mar 07 2019
Alert at airports leads to long queues at KIA	Just recovering from the fog and Aero India-related flight disruptions, the Kempegowda International Airport is witnessing long queues yet again, but for a different reason: elaborate security checks triggered by a high alert following the Indo-Pak aerial showdown.The queues at the country’s third busiest airport are widespread, with passengers forced to stand for long hours at the baggage and security screening gates. Stressed over this, many travellers are taking to social media to vent their frustration.Ananth Sampath, a passenger, observed that he had to take off his shoe and belt at the security check. “I have not seen this in India before. Guess they need to buffer additional time at the airports. One hour is not enough,” he tweeted.The stress levels have gone up not only for passengers, but for the airlines and the Central Industrial Security Force (CISF) as well. “Tickets, too, have become more expensive due to cancelled flights,” noted another passenger, Mathew Thomas.The airport operator, Bangalore International Airport Limited (BIAL) had this to say: “Access control at all gates of the airport have been tightened and the screening intensified. There were slight delays due to intense passenger screening, but all within acceptable limits.” On Saturday, the Centre had directed all airports and airlines in the country to enhance the existing security measures. Issuing the alert, the Bureau of Civil Aviation Security (BCAS) had marked it to senior police officials of all states, in-charges of security at all airlines and airports and CISF officers.The alert applied to all civil aviation installations such as airports, airstrips, airfields, air force stations, helipads, flying schools and aviation training institutes. Twenty specific enhanced security measures were cited to be in operation until further orders.Enhanced screening of passengers meant a 100% full pat-down search at pre-embarkation security checkpoints.The BCAS directive also required enhanced random screening of the airport staff and visitors at the main entrance to the terminal building.Even before the alert, long security queues have been an issue at KIA. BIAL had introduced the Automatic Tray Retrieval System (ATRS) to speed up the screening process.	Kempegowda International Airport,alert,	 Mar 07 2019
Ride-sharing only way out of chaos: Drivers’ union	The government should make it mandatory for IT companies to hire buses for employees’ transportation, which will boost ridesharing and ease traffic congestion in Whitefield and Electronic City, taxi drivers have said.The Indian Vehicle Drivers’ Union has appealed to Chief Minister H D Kumaraswamy to address the issue.“There are 6,500 IT-BT and IT-enabled companies in Bengaluru. Approximately 15 lakh people are employed in these companies,” said Gandasi Sadananda Swamy, president of the union. “While they are contributing to the economy, the city’s limited infrastructure is leading to traffic problems due to abnormal growth in number of vehicles. Ride-sharing is the only solution for the problem.” The union also said that several IT companies had stopped “day trips” and instead were giving travel allowance to their employees. “Companies are giving Rs 5,000 transport charges (allowance) to employees, which is encouraging them to use own vehicles. Instead, they should embrace cost-effective solutions like hiring buses for a particular number of trips,” he said.The drivers’ union said that congestion was directly affecting their revenue because of delayed trips, while the increasing amount of time spent on the road was affecting their health. The union has suggested that the government make it compulsory for companies to hire BMTC buses.M R Kori, president of Whitefield Area Commerce and Industries Association, said the government should encourage IT firms to hire buses. “They should start by encouraging them and then make it compulsory. Ride-sharing is the best solution within the limited infrastructure,” he said.“Though many know the problems, they may not be aware of the solutions. We will conduct a meeting with members of our group and start a discussion in this regard,” he said.	Public Transport,IT companies,ride-sharing,	 Mar 07 2019
Le Meridien hotel to be razed, replaced with office	The iconic Le Meridien hotel on Sankey Road will be history in the coming months, The Times of India reported on Wednesday.Embassy Group plans to pull down the building to make way for an office space in one of the most posh areas in the City. Le Meridien overlooks the serene and iconic Bangalore Golf Club and boasts of 197 rooms and 30 suites.The 2.5 acre land is expected to have 0.4 million square feet of office space. The hotel building will be brought down this year and construction of the office building is likely to start next year, the report further addedEmbassy gained ownership of the hotel in 2016 when it acquired around 75% of Mac Charles India, the then owner of Le Meridien for Rs 644 crore.	Le Meridien,Bengaluru,	 Mar 06 2019
Bringing world’s folktales to city kids	Tikki Tikki Tembo might sound like the rhythmic beat of a reggae number, but it is actually a popular Chinese folktale.As Shylaja Sampath narrates the tale animatedly at a Banashankari park, children seated around her watch with wide-eyed wonderment and a slight smile.Tikki Tikki Tembo, which tells why the Chinese names are short today, is among the most popular tales of the storyteller.“Storytelling is one art that is rapidly gaining popularity in the city,” Shylaja says, talking about her initiative ‘Stories in the Park’ through which she tells popular folktales across the globe with the flourish of a performance artist.Each month, she conducts the storytelling session at the Banashankari park that has brought children and adults alike. Shylaja brings stories to life by blending narration with performance. She has been a storyteller and a theatre person for the past 20 years, and so the skill is almost second nature.At the end of each story, she teaches children folksongs related to the origin of the story she narrated. The wide array of stories from Japan to Bengal is a treat to both their eyes and ears.“The best thing is, everyone has their own takeaway from these stories; their own perception about them. This’s beautiful,” she says.Storytelling is not restricted to children. Shylaja holds sessions for the adults that draw their subjects from short stories of famous authors like Rabindranath Tagore.“Children may find it harder to interpret those stories,” she says. “For children, it’s always the folktales from India and other countries, besides stories from children’s authors.”Shylaja is also the founder of Ninety Bold Tales, a performance art-based collective. She brings parents and children together with interactive methods, encouraging them to learn through storytelling.	Folklore,Storytellers,	 Mar 06 2019
Lalbagh vehicle ban hits project roadblock	Change of guard at the Horticulture directorate in Lalbagh has put the department’s ambitious plan to make the sprawling botanical gardens a ‘Walkers’ Paradise’ on the back-burner.The horticulture department had planned to enforce a complete ban on the movement of vehicles, including vehicles belonging to the horticulture department, inside the gardens. However, the project, despite support from the horticulture minister, has still remained on paper.A complete ban on movement of vehicles inside the park was one of the demands put forward by walkers and joggers during ‘Janaspandana’— a citizen interaction programme organised by Deccan Herald and Prajavani on November 26. Citizens wanted visitors and officials to walk or move around using a battery operated vehicle.The move had the backing of both officials and Horticulture minister M C Managuli, who expressed his support for the use of buggies.The previous director of horticulture, Y S Patil, had assured that the plan will be put in place in about one month with the purchase of buggies. However, even after a month, there is no sign of proposal seeing light of day. Officials at the horticulture directorate revealed to DH that the project has stalled due to change of guard at the department level.A few weeks ago, the state government transferred horticulture director YS Patil as Deputy Commissioner of Vijayapura and posted Dr M V Venkatesh as the director of the horticulture department.“The new director has taken charge recently and is briefed about the pending projects. We will also brief him about the problems raised by public, walkers and joggers and soon a ban on vehicles will be ordered as suggested by the minister,” a senior official from Lalbagh said.Meanwhile, the department has also hiked the entry fees to the gardens with effect from March 1. The entry and parking fee have been increased by Rs 5 to Rs 10 over and above the existing fee across various categories.	Horticulture Department,Lalbagh,Vehicle ban,	 Mar 06 2019
Here’s how a group of climbers can inspire you to hike	The city may be well-known for its music scene, but rarely mentioned is the passion for rock climbing and the opportunities hikers find in the nearby hills.Among the passionate group of trekkers is ‘The Climbing Project’, which inspires people to get outdoors and in the middle of nature. They invite many to explore the Turahalli forests, Ravugodlu and other scenic areas that also promise a good workout for the body.And what more, the group encourages those taking part in their programmes to let their Labradors and Great Danes to tramp along in their trekking expeditions. The group mainly holds workshops for people of all ages to prepare them to climb the toughest of terrains from boulders to hills. “The Project also wants to make climbing accessible for everyone,” its co-founder Saurabh Chauhan told DH.“Unlike other sports, climbing requires several equipments not so easily available in India and the ones available are expensive,” he said, adding that the project is aiming to buy the equipments for the use of the climbers. The gear can be bought from the funds raised out of workshops.As a sport, climbing is liberating; it enhances focus, strength and flexibility.“Climbing has different forms,” Chauhan explained. This includes, among other things, bouldering, sport climbing done in teams of two with protective ropes and bolts, traditional climbing on cracks in the terrain with removable gears.Beginning in 2017, the project has already trained 500 people in various forms of climbing.They host climbing adventures each weekend around the city, besides organising climbing trips once a month to Hampi, Mysuru and other places.	"Trekking,The city may be well-known for its music scene, but rarely mentioned is the passion for rock climbing and the opportunities hikers find in the nearby hills.
Among the passionate group of trekkers is ‘The Climbing Project’, which inspires people to get outdoors and in the middle of nature. They invite many to explore the Turahalli forests, Ravugodlu and other scenic areas that also promise a good workout for the body.
And what more, the group encourages those taking part in their programmes to let their Labradors and Great Danes to tramp along in their trekking expeditions. The group mainly holds workshops for people of all ages to prepare them to climb the toughest of terrains from boulders to hills. “The Project also wants to make climbing accessible for everyone,” its co-founder Saurabh Chauhan told DH.
“Unlike other sports, climbing requires several equipments not so easily available in India and the ones available are expensive,” he said, adding that the project is aiming to buy the equipments for the use of the climbers. The gear can be bought from the funds raised out of workshops.
As a sport, climbing is liberating; it enhances focus, strength and flexibility.
“Climbing has different forms,” Chauhan explained. This includes, among other things, bouldering, sport climbing done in teams of two with protective ropes and bolts, traditional climbing on cracks in the terrain with removable gears.
Beginning in 2017, the project has already trained 500 people in various forms of climbing.
They host climbing adventures each weekend around the city, besides organising climbing trips once a month to Hampi, Mysuru and other places.
,Rock climbing,"	 Mar 05 2019
Green warriors, CSR funds come to Nandi Hills' rescue	An ongoing green initiative has helped revive ponds and lakes as well as increase green cover in Nandi Hills in the last three years.The Nandi Lake and Pataala Ganga have been revived through the untiring efforts of former IFS officer and noted environmentalist AN Yellappa Reddy’s Bangalore Environment Trust and the United Way Bengaluru - both of whom have used CSR funds to rejuvenate water bodies as part of the “Save Nandi Hills campaign”.According to a report on the campaign’s activities, Nandi Lake was in terrible shape, with uncontrolled removal of soil and dumping of waste and debris virtually destroying the lake.The NGO along with the district administration and zilla panchayat took up a scientific study to revive the lake. The feeder canals blocked for several years were cleared and rainwater was allowed to flow into the lake.Apart from that, kalyanis (small ponds) were also revived. One such kalyani, Paataala Ganga, was choked with silt. So, the feeder canals were cleaned and water is now flowing into the Paataala Ganga, which is now raising the water level up in the Amrut Sarovara. To enhance bio-diversity, tree plantation drives and seed ball throwing initiatives were also carried out.The fertile red soil, manure and cow dung was used to make the seed balls by engaging volunteers from various companies.Drastic changeAbout 2,000 saplings of native fruit and flower-bearing species have been planted since the campaign began. This has also discouraged the proliferation of eucalyptus, which is known to be harmful to soil and water.Speaking about the rejuvenation project, Special Officer to Nandi Hills, Ramesh N, said that a drastic change could be seen ever since the activities began.“Although the government allocates funds for improving and maintaining Nandi Hills, it is not enough especially with the manpower crisis. The volunteers come in hundreds, take up the task and finish it. More than funds, it the scientific method and the huge number of volunteers that is making the difference here,” Ramesh added.About 70 acres of Nandi Hills is controlled and maintained by the Horticulture department, while the remaining 3,500 acres of land is under the forest department.	Nandi Hills,conservation,	 Mar 04 2019
Begur residents install tilting dustbins	The residents of Begur on Sunday installed tilting dustbins along the Begur road with the help of the BBMP, as they spread awareness on cleanliness.While residents fixed the dumpsters under the banner of Federation of Beautiful Begur, women and children in the locality participated in a walkathon.“Around 12 tilting dustbins were sponsored by the corporator of Begur ward, Anjanappa, and the Redbridge International Academy. The installation was done by volunteers. Half of the work has been completed. We will complete the rest in the coming weeks,” said K Prakash, vice president, Federation of Beautiful Begur.Other campaignsThe citizens group will also take help from the Palike to install e-toilets soon as part of their ‘Beautiful Begur’ campaign.The federation celebrated its 52nd week of the Swachh Begur cleaning drive with the programme ‘Parikrama’ on Sunday by conducting a walkathon. As part of the event, they also conducted a free health camp for BBMP workers.“We’re working to support the government machinery to complete the pending civic works. We still don’t have the Cauvery water connection, which will be our top priority. We also want good roads,” Prakash added.	Begur,waste management,	 Mar 04 2019
We proved them wrong: Team Tarini	The team of Six Indian Navy women called Tarini, the first Asian team to circumnavigate the globe in eight months, interacted with Mount Carmel college students.It was a part of National Geographics’s #GirlsWhoSailed initiative, ahead of International Women’s Day.Just like the sail, the crew comprising Lieutenant (Lt) Commander Pratibha Jamwal, Lt Commander Aishwarya Boddapati, Lt Commander P Swathi, Lt Commander S Vijaya Devi and Lt Payal Gupta, was lead by Lieutenant Commander Vartika Joshi (skipper).“We never lost hope and never wanted to quit. We faced resistance from our parents and concerned senior colleagues. They said we might never return. But we proved them all wrong,” said the women crew. “This is the message we want to give everyone, especially women…that we are equal. Capabilities are important. The sea does not know male or female. It will not differentiate. Nothing in the world can stop us, if we decide,” they added.A film ‘Tarini’ has also been made chronicling their journey known as ‘Navika Sagar Parikrama’.On September 10, 2017, the team took off from Goa. Their gruel voyage of 254 days covering 21,622 nautical miles ended on March 21, 2018.The team recounted their two storms of 20 hours each. The worst being the one they encountered in the Southern Hemisphere, close to Antarctica, called the Graveyard of Ships. The speed of the storm was 200 kmph against boat’s speed of 6-12 kmph.The crew recollected their experience in temperatures of 45 degree Celsius, 15 degree Celsius, zero degree Celsius and -7 degree Celsius.They recalled how they cut Chocowalnut cake when they crossed the Equator at 4.50 am, as a ritual to King Neptune, and sang Happy Equator song (reprised version). They recollected how they would touch earth each time they landed on ports and some lighter moments of fights and birthdays.Lt Commander Swathi said unlike solo circumnavigations, they had each other. The team drew inspiration from their trainer and first solo (2009) circum-navigator Dilip Done.“But it was difficult to leave families and others behind on this long voyage, especially for me as I was the only one who was married. We not only built a bond among ourselves, but also with the boat as we saw it getting built from a price of wood,” she said.	National Geographic,Tarini,Mount Carmel College,	 Mar 02 2019
